"区分","職員数（本務者）_計_計","職員数（本務者）_計_男","職員数（本務者）_計_女","職員数（本務者）_負担法による者_事務職員_計","職員数（本務者）_負担法による者_事務職員_男","職員数（本務者）_負担法による者_事務職員_女","職員数（本務者）_負担法による者_学校栄養職員_計","職員数（本務者）_負担法による者_学校栄養職員_男","職員数（本務者）_負担法による者_学校栄養職員_女","職員数（本務者）_その他の者_教員数に計上されない市町村費負担教員_計","職員数（本務者）_その他の者_教員数に計上されない市町村費負担教員_男","職員数（本務者）_その他の者_教員数に計上されない市町村費負担教員_女","職員数（本務者）_その他の者_事務職員_計","職員数（本務者）_その他の者_事務職員_男","職員数（本務者）_その他の者_事務職員_女","職員数（本務者）_その他の者_学校図書館事務員_計","職員数（本務者）_その他の者_学校図書館事務員_男","職員数（本務者）_その他の者_学校図書館事務員_女","職員数(本務者)(つづき)_その他の者（つづき）_養護職員（看護師等）_計","職員数(本務者)(つづき)_その他の者（つづき）_養護職員（看護師等）_男","職員数(本務者)(つづき)_その他の者（つづき）_養護職員（看護師等）_女","職員数(本務者)(つづき)_その他の者（つづき）_学校栄養職員_計","職員数(本務者)(つづき)_その他の者（つづき）_学校栄養職員_男","職員数(本務者)(つづき)_その他の者（つづき）_学校栄養職員_女","職員数(本務者)(つづき)_その他の者（つづき）_学校給食調理従事員_計","職員数(本務者)(つづき)_その他の者（つづき）_学校給食調理従事員_男","職員数(本務者)(つづき)_その他の者（つづき）_学校給食調理従事員_女","職員数(本務者)(つづき)_その他の者（つづき）_用務員_計","職員数(本務者)(つづき)_その他の者（つづき）_用務員_男","職員数(本務者)(つづき)_その他の者（つづき）_用務員_女","職員数(本務者)(つづき)_その他の者（つづき）_警備員・その他_計","職員数(本務者)(つづき)_その他の者（つづき）_警備員・その他_男","職員数(本務者)(つづき)_その他の者（つづき）_警備員・その他_女","学校医等の数_学校医","学校医等の数_学校歯科医","学校医等の数_学校薬剤師"
"紀美野町","2.0","0.0","2.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","3.0","3.0"
"かつらぎ町","4.0","1.0","3.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","7.0","4.0","2.0"
"九度山町","3.0","1.0","2.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","5.0","2.0","2.0"
"高野町","5.0","2.0","3.0","1.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","6.0","2.0","2.0"
"湯浅町","2.0","2.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","4.0","1.0","1.0"
"広川町","3.0","0.0","3.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","6.0","2.0","2.0"
"有田川町","14.0","1.0","13.0","5.0","1.0","4.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","5.0","3.0","0.0","3.0","0.0","0.0","0.0","14.0","5.0","5.0"
"美浜町","3.0","1.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","2.0","1.0","1.0"
"日高町","3.0","0.0","3.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","2.0","1.0","1.0"
"由良町","2.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","2.0","1.0","1.0"
"印南町","15.0","4.0","11.0","3.0","1.0","2.0","0.0","0.0","0.0","4.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","4.0","4.0","0.0","4.0","0.0","0.0","0.0","8.0","4.0","4.0"
"みなべ町","6.0","2.0","4.0","3.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","3.0","0.0","0.0","0.0","5.0","3.0","3.0"
"日高川町","12.0","3.0","9.0","5.0","2.0","3.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","4.0","1.0","1.0","0.0","0.0","0.0","0.0","9.0","5.0","5.0"
"白浜町","5.0","2.0","3.0","3.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","4.0","4.0","4.0"
"上富田町","4.0","2.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","1.0","1.0","2.0","1.0","1.0"
"すさみ町","2.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","4.0","2.0","2.0"
"那智勝浦町","6.0","1.0","5.0","3.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","3.0","0.0","0.0","0.0","8.0","4.0","4.0"
"太地町","4.0","1.0","3.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","1.0"
"古座川町","3.0","0.0","3.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","2.0","2.0","2.0"
"北山村","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"串本町","13.0","3.0","10.0","5.0","2.0","3.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","5.0","2.0","1.0","1.0","5.0","5.0","5.0"
