"区分","職名別教員数（本務者）_計_計","職名別教員数（本務者）_計_男","職名別教員数（本務者）_計_女","職名別教員数（本務者）_校長_計","職名別教員数（本務者）_校長_男","職名別教員数（本務者）_校長_女","職名別教員数（本務者）_副校長_計","職名別教員数（本務者）_副校長_男","職名別教員数（本務者）_副校長_女","職名別教員数（本務者）_教頭_計","職名別教員数（本務者）_教頭_男","職名別教員数（本務者）_教頭_女","職名別教員数（本務者）_主幹教諭_計","職名別教員数（本務者）_主幹教諭_男","職名別教員数（本務者）_主幹教諭_女","職名別教員数（本務者）_指導教諭_計","職名別教員数（本務者）_指導教諭_男","職名別教員数（本務者）_指導教諭_女","職名別教員数（本務者）_教諭_計","職名別教員数（本務者）_教諭_男","職名別教員数（本務者）_教諭_女","職名別教員数（本務者）_助教諭_計","職名別教員数（本務者）_助教諭_男","職名別教員数（本務者）_助教諭_女","職名別教員数（本務者）（つづき）_養護教諭_計","職名別教員数（本務者）（つづき）_養護教諭_男","職名別教員数（本務者）（つづき）_養護教諭_女","職名別教員数（本務者）（つづき）_養護助教諭_計","職名別教員数（本務者）（つづき）_養護助教諭_男","職名別教員数（本務者）（つづき）_養護助教諭_女","職名別教員数（本務者）（つづき）_栄養教諭_計","職名別教員数（本務者）（つづき）_栄養教諭_男","職名別教員数（本務者）（つづき）_栄養教諭_女","職名別教員数（本務者）（つづき）_講師_計","職名別教員数（本務者）（つづき）_講師_男","職名別教員数（本務者）（つづき）_講師_女","職名別教員数（本務者）（つづき）_計のうち市町村費負担の教員(再掲)_計","職名別教員数（本務者）（つづき）_計のうち市町村費負担の教員(再掲)_男","職名別教員数（本務者）（つづき）_計のうち市町村費負担の教員(再掲)_女","職名別教員数（本務者）（つづき）_計のうち公立（再掲）_計","職名別教員数（本務者）（つづき）_計のうち公立（再掲）_男","職名別教員数（本務者）（つづき）_計のうち公立（再掲）_女","職名別教員数（本務者）（つづき）_計_計","職名別教員数（本務者）（つづき）_計_男","職名別教員数（本務者）（つづき）_計_女","職名別教員数（兼務者）（つづき）_校長_計","職名別教員数（兼務者）（つづき）_校長_男","職名別教員数（兼務者）（つづき）_校長_女","職名別教員数（兼務者）（つづき）_副校長_計","職名別教員数（兼務者）（つづき）_副校長_男","職名別教員数（兼務者）（つづき）_副校長_女","職名別教員数（兼務者）（つづき）_教頭_計","職名別教員数（兼務者）（つづき）_教頭_男","職名別教員数（兼務者）（つづき）_教頭_女","職名別教員数（兼務者）（つづき）_教諭_計","職名別教員数（兼務者）（つづき）_教諭_男","職名別教員数（兼務者）（つづき）_教諭_女","職名別教員数（兼務者）（つづき）_養護教諭_計","職名別教員数（兼務者）（つづき）_養護教諭_男","職名別教員数（兼務者）（つづき）_養護教諭_女","職名別教員数（兼務者）（つづき）_養護助教諭_計","職名別教員数（兼務者）（つづき）_養護助教諭_男","職名別教員数（兼務者）（つづき）_養護助教諭_女","職名別教員数（兼務者）（つづき）_栄養教諭_計","職名別教員数（兼務者）（つづき）_栄養教諭_男","職名別教員数（兼務者）（つづき）_栄養教諭_女","職名別教員数（兼務者）（つづき）_講師_計","職名別教員数（兼務者）（つづき）_講師_男","職名別教員数（兼務者）（つづき）_講師_女","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_計","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_休職_組合事務専従者","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_休職_職務上負傷疾病","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_休職_結核","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_休職_その他","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_育児休業","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_計","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_休職_組合事務専従者","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_休職_職務上負傷疾病","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_休職_結核","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_休職_その他","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_育児休業"
"紀美野町","33.0","17.0","16.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","10.0","10.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","4.0","3.0","0.0","0.0","0.0","33.0","17.0","16.0","17.0","5.0","12.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","4.0","2.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","3.0","0.0","3.0","7.0","2.0","5.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"かつらぎ町","39.0","22.0","17.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.0","16.0","13.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","2.0","2.0","0.0","0.0","0.0","39.0","22.0","17.0","3.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"九度山町","19.0","10.0","9.0","1.0","1.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","6.0","6.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","19.0","10.0","9.0","10.0","5.0","5.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","5.0","3.0","2.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"高野町","17.0","10.0","7.0","1.0","1.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","7.0","4.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","17.0","10.0","7.0","8.0","5.0","3.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","3.0","2.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"湯浅町","31.0","18.0","13.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.0","13.0","11.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","3.0","1.0","0.0","0.0","0.0","31.0","18.0","13.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"広川町","26.0","17.0","9.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","13.0","6.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","2.0","0.0","0.0","0.0","26.0","17.0","9.0","3.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"有田川町","81.0","43.0","38.0","5.0","5.0","0.0","0.0","0.0","0.0","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","55.0","25.0","30.0","0.0","0.0","0.0","4.0","0.0","4.0","1.0","0.0","1.0","1.0","0.0","1.0","10.0","8.0","2.0","0.0","0.0","0.0","81.0","43.0","38.0","11.0","2.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","0.0","9.0","2.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0"
"美浜町","16.0","11.0","5.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","8.0","4.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","16.0","11.0","5.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高町","18.0","8.0","10.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","5.0","8.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","18.0","8.0","10.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"由良町","16.0","9.0","7.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","5.0","6.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","16.0","9.0","7.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
